,F1,F2,F3,F4,F5,F6,F7,F8
Adapt_main_1_matrix_2,,,,,,,,0.738708548
Adapt_main_1_matrix_4,,,,,,,,0.63304275
Mind_Hope_3_matrix_2,,,,,,,,0.396276213
Adapt_main_1_matrix_3,,,,,,,-0.338260203,0.246812851
90th percentile,0.591384521,0.577623211,0.556077575,0.35474457,0.35789387,0.312725527,0.186277427,0.208715433
WFBN_advnet_5_matrix_2,,,,,,,,
Bhea_Opres_2_matrix_1,,,,,,,0.219594617,
WFBN_advnet_5_matrix_3,,,,,,,,
Mind_Hope_3_matrix_3,0.70133156,,,,,,,
Mind_FO_5_matrix_2,0.831832315,,,,,,,
Mind_FO_5_matrix_1,0.82627212,,,,,,,
WFBN_advnet_5_matrix_1,,,0.595253049,,,,,
Mind_Trust_2_matrix_1,,,,0.849152088,,,,
Bhea_Orgres_1_matrix_4,,,,,,0.752960358,,
Mind_Trust_2_matrix_3,,,,0.870428386,,,,
Bhea_Opres_2_matrix_2,,,,,,0.428097873,,
Mind_Hope_3_matrix_1,0.654900133,,,,,,-0.251907843,
Tech_rc_1_matrix_1,,0.746285979,,,,,,
WFBN_INFO_1_matrix_2,,,,0.362465963,0.521242992,,,
Mind_Trust_2_matrix_2,,,,0.894696099,,,,
Bhea_Opres_5_matrix_1,,,,,,,0.715102337,
Tech_rc_1_matrix_2,,0.770067737,,,,,,
Tech_rc_1_matrix_3,,0.630766076,,,,,,
Mind_belon_4_matrix_3,,,0.713256131,,,,,
Tech_rc_2_matrix_1,,0.704508666,,,,,,
WFBN_INFO_1_matrix_1,,,,,0.547314186,,,
WFBN_tal_2_matrix_2,,,,,0.606556099,,,
Bhea_Opres_5_matrix_2,,-0.167579039,,,,,0.756609632,
Mind_belon_4_matrix_2,,,0.731586558,,,,,
Mind_belon_4_matrix_1,,,0.7390513,,,,,
Bhea_Orgres_1_matrix_5,,,,,,0.615717987,,
WFBN_tal_2_matrix_1,,,,,0.624569474,,,
Tech_rc_2_matrix_2,,,,,,,,
Bhea_Orgres_1_matrix_3,,,,,,-0.424807665,,
Bhea_Opres_5_matrix_3,,,,,,,0.235858637,
Bhea_Opres_2_matrix_3,,,,,,0.360903795,,
Mind_Creat_1_matrix_3,,,,,-0.255234137,,,
Mind_Creat_1_matrix_2,,,,,,,,-0.190065152
Mind_Creat_1_matrix_1,,,,,,-0.236924109,-0.224492998,-0.263167862
Mind_belon_4_matrix_4,,,,,-0.179501651,,,-0.265142754